Interdependencies between devices,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,,,,
Humidity_Sensor,,,,,,,,,,,,,,,,,,,,,,,,,
Ventilator,,,,,,,,,,,,,,,,,,,,,,,,,
CO2_Sensor,,,,,,,,,,,,,,,,,,,,,,,,,
heater,,,,,,,,,,,,,,,,,,,,,,,,,
window_sensor0,,,,,,,,,,,,,,,,,,,,,,,,,
window_sensor1,,,,,,,,,,,,,,,,,,,,,,,,,
air_conditioner,,,,,,,,,,,,,,,,,,,,,,,,,
CO_Detection_Sensor,,,,,,,,,,,,,,,,,,,,,,,,,
Light0,,,,,,,,,,,,,,,,,,,,,,,,,
Light1,,,,,,,,,,,,,,,,,,,,,,,,,
occupancy_sensor,,,,,,,,,,,,,,,,,,,,,,,,,
thermometer,,,,,,,,,,,,,,,,,,,,,,,,0,无连接
fire_alarm,,,,,,,,,,,,,,,,,,,,,,,,1,直接通信
brightness_sensor,,,,,,,,,,,,,,,,,,,,,,,,2,间接物理依赖
motion_sensor,,,,,,,,,,,,,,,,,,,,,,,,3,APP依赖
smoke_sensor,,,,,,,,,,,,,,,,,,,,,,,,4,直接物理依赖
media_player,,,,,,,,,,,,,,,,,,,,,,,,,
projector,,,,,,,,,,,,,,,,,,,,,,,,,
Smart_TV,,,,,,,,,,,,,,,,,,,,,,,,,
speaker,,,,,,,,,,,,,,,,,,,,,,,,,
Light_controller,,,,,,,,,,,,,,,,,,,,,,,,,
